,c,cell,captureStatus,cellline,plate,platerow,ngeneson,obstime,S.hat,capture,capture.orig,prior1,prior,prior3,xyz
159,159,4,PC35G,g2/m,PC3,13,G,0.8695652174,3,0.077052275422747,3,3,3.25,2.94166666666667,2.175
160,160,4,PC36A,g2/m,PC3,14,A,0.7351778656,3,0.054651642290676,3,3,2.96666666666667,1.59166666666667,2.625
161,161,4,PC36B,g2/m,PC3,14,B,0.6403162055,3,0.015291396942872,3,3,1.40833333333333,2.59166666666667,2.075
162,162,4,PC36C,g2/m,PC3,14,C,0.743083004,3,0.053640286966463,3,3,1.84166666666667,0.9,0.9
163,163,4,PC36D,g2/m,PC3,14,D,0.8023715415,3,0.073841414220517,3,3,3.225,1.48333333333333,3.24166666666667
164,164,4,PC36E,g2/m,PC3,14,E,0.7351778656,3,0.057982310528748,3,3,3.21666666666667,1.35833333333333,1.44166666666667
165,165,4,PC36F,g2/m,PC3,14,F,0.5691699605,3,-0.025659427865224,3,3,2.075,1.68333333333333,0.55
166,166,4,PC3AA,g0/g1,PC3,15,A,0.766798419,1,0.060066797373913,1,1,2.58333333333333,3.24166666666667,1.68333333333333
167,167,4,PC3AB,g0/g1,PC3,15,B,0.7549407115,1,0.088584574207174,1,1,1.68333333333333,2.625,2.24166666666667
168,168,4,PC3AC,g0/g1,PC3,15,C,0.743083004,1,0.082690982376955,1,1,1.475,2.3,0.825
169,169,4,PC3AD,g0/g1,PC3,15,D,0.7470355731,1,0.082984615712745,1,1,2.275,2.63333333333333,0.65
170,170,4,PC3BD,g0/g1,PC3,16,D,0.8537549407,1,0.067908360353601,1,1,1.95833333333333,1.18333333333333,0.841666666666667
171,171,4,PC3BH,g2/m,PC3,16,H,0.256916996,3,-0.207892693391125,3,3,0.85,1.15,2.3
172,172,5,PC33A,s,PC3,11,A,0.766798419,2,0.066625501968733,2,2,0.825,0.55,2.63333333333333
173,173,5,PC33B,s,PC3,11,B,0.9446640316,2,0.073723698055129,2,2,3.25833333333333,2.175,2.49166666666667
174,174,5,PC33C,s,PC3,11,C,0.7509881423,2,0.06026207089753,2,2,1.76666666666667,2.24166666666667,1.64166666666667
175,175,5,PC33D,s,PC3,11,D,0.9169960474,2,0.05580910164084,2,2,2.56666666666667,1.84166666666667,1.48333333333333
176,176,5,PC33E,s,PC3,11,E,0.7509881423,2,0.064887294349872,2,2,2.25,2.49166666666667,1.15
177,177,5,PC33F,s,PC3,11,F,0.7272727273,2,0.035652762960293,2,2,2,1.44166666666667,0.85
178,178,5,PC33G,s,PC3,11,G,0.4150197628,2,-0.168823200058851,2,2,3.28333333333333,2.56666666666667,1.95
179,179,5,PC34A,s,PC3,12,A,0.8498023715,2,0.063601847217367,2,2,0.55,0.841666666666667,2.38333333333333
180,180,5,PC34B,s,PC3,12,B,0.7391304348,2,0.065015198597453,2,2,1.35833333333333,0.825,2.58333333333333
181,181,5,PC34C,s,PC3,12,C,0.7391304348,2,0.064263817101477,2,2,2.24166666666667,3.21666666666667,3.25833333333333
182,182,5,PC34D,s,PC3,12,D,0.7154150198,2,0.039504438160807,2,2,1.44166666666667,1.76666666666667,2.56666666666667
183,183,5,PC34E,s,PC3,12,E,0.6798418972,2,0.017273993821913,2,2,2.94166666666667,0.85,1.18333333333333
184,184,5,PC34F,s,PC3,12,F,0.6956521739,2,0.022676408015144,2,2,0.841666666666667,1.64166666666667,1.84166666666667
185,185,5,PC34G,s,PC3,12,G,0.5889328063,2,-0.063706234965503,2,2,2.3,1.95,1.76666666666667
186,186,5,PC35A,g2/m,PC3,13,A,0.7628458498,3,0.069459244030572,3,3,1.95,0.508333333333333,2.25
187,187,5,PC35B,g2/m,PC3,13,B,0.9565217391,3,0.113906526054666,3,3,0.6,3.225,3.21666666666667
188,188,5,PC35C,g2/m,PC3,13,C,0.8774703557,3,0.073903195758608,3,3,1.4,2.38333333333333,1.4
189,189,5,PC35D,g2/m,PC3,13,D,0.6205533597,3,0.033150544267391,3,3,2.625,1.95833333333333,3.25
190,190,5,PC35E,g2/m,PC3,13,E,0.9604743083,3,0.114972799813474,3,3,1.48333333333333,3.25833333333333,2.25833333333333
191,191,5,PC35G,g2/m,PC3,13,G,0.6126482213,3,-0.016662323247726,3,3,1.15,1.475,1.40833333333333
192,192,5,PC36A,g2/m,PC3,14,A,0.9565217391,3,0.109030950275379,3,3,2.875,1.8,1.16666666666667
193,193,5,PC36B,g2/m,PC3,14,B,0.6324110672,3,0.020783981543347,3,3,1.18333333333333,2.075,1.475
194,194,5,PC36C,g2/m,PC3,14,C,0.7944664032,3,0.108187792840802,3,3,3.24166666666667,2.58333333333333,2.29166666666667
195,195,5,PC36D,g2/m,PC3,14,D,0.7865612648,3,0.088957872228125,3,3,2.33333333333333,3.25,1.29166666666667
196,196,5,PC36E,g2/m,PC3,14,E,0.837944664,3,0.123173678441265,3,3,2.49166666666667,0.875,1.95833333333333
197,197,5,PC36F,g2/m,PC3,14,F,0.7391304348,3,0.068023973641638,3,3,1.64166666666667,2.275,0.875
198,198,5,PC36G,g2/m,PC3,14,G,0.8932806324,3,0.095422545849403,3,3,2.93333333333333,2.25833333333333,3.225
199,199,5,PC3AC,g0/g1,PC3,15,C,0.7628458498,1,0.073736664934484,1,1,1.8,2.25,2.96666666666667
200,200,5,PC3AD,g0/g1,PC3,15,D,0.6916996047,1,0.052910478022792,1,1,2.5,0.516666666666667,2.60833333333333
201,201,5,PC3AE,g0/g1,PC3,15,E,0.7509881423,1,0.07858421512926,1,1,1.39166666666667,1.4,2.275
202,202,5,PC3AF,s,PC3,15,F,0.743083004,2,0.049847099856218,2,2,2.25833333333333,1.16666666666667,0.566666666666667
203,203,5,PC3AG,s,PC3,15,G,0.743083004,2,0.063600384299298,2,2,2.38333333333333,2.29166666666667,2.5
204,204,5,PC3BB,g0/g1,PC3,16,B,0.7351778656,1,0.071565687285258,1,1,0.525,1.40833333333333,1.675
205,205,5,PC3BC,g0/g1,PC3,16,C,0.5652173913,1,-0.056983141774908,1,1,2.59166666666667,1.675,1.8
206,206,5,PC3BD,g0/g1,PC3,16,D,0.3003952569,1,-0.167577850221369,1,1,1.59166666666667,0.566666666666667,1.46666666666667
207,207,5,PC3BE,g0/g1,PC3,16,E,0.5691699605,1,-0.065916514034205,1,1,0.508333333333333,0.575,2.575
208,208,5,PC3BF,s,PC3,16,F,0.4664031621,2,-0.145759980254666,2,2,2.23333333333333,2.575,0.575
209,209,5,PC3BG,s,PC3,16,G,0.7272727273,2,0.039469582300749,2,2,1.49166666666667,1.46666666666667,0.516666666666667
210,210,6,PC33A,s,PC3,11,A,0.9446640316,2,0.088724875071989,2,2,0.616666666666667,2.31666666666667,2
211,211,6,PC33B,s,PC3,11,B,0.9288537549,2,0.052696421102876,2,2,0.733333333333333,0.6,2.89166666666667
212,212,6,PC33D,s,PC3,11,D,0.7470355731,2,0.040224381877001,2,2,1.425,2.96666666666667,1.63333333333333
213,213,6,PC33E,s,PC3,11,E,0.7154150198,2,-0.01960836521022,2,2,0.9,3.29166666666667,1.98333333333333
214,214,6,PC33F,s,PC3,11,F,0.790513834,2,0.064615482686174,2,2,1.31666666666667,1.98333333333333,0.6
215,215,6,PC33G,s,PC3,11,G,0.7747035573,2,0.062903759587097,2,2,0.816666666666667,2.5,1.49166666666667
